date,Wind_speed,Power,Nacelle_ambient_temperature,Generator_bearing_temperature,Gear_oil_temperature,Ambient_temperature,Rotor_Speed,Nacelle_temperature,Bearing_temperature),Generator_speed,Yaw_angle,Wind_direction,Wheel_hub_temperature,Gear_box_inlet_temperature,Failure_status
2023-02-01,7.799745918,2.294531546,32.47824347,85.5965198,64.41870605,34.6905899,138.1719387,58.15439609,102,1441.457209,14.32169129,7.226060263,12.64967078,17.41372644,No_failure
2023-04-29,43.44161076,0.773573623,-55.54701451,59.1875053,100.4471164,-18.1294648,24.92420829,-5.029159575,39.81135399,358.3596524,97.37392738,147.0700991,-75.40957531,27.80641383,Failure
2023-07-27,14.07310476,2.071046508,39.68,80.24263272,49.515,29.55079551,138.4874059,44.56528673,95.85066185,1388.939832,14.77006013,208.2626895,62.46835004,13.66239244,No_failure
2023-06-05,41.16291876,0.148410462,-53.61760327,46.3043197,111.1359735,-2.860951101,24.47147426,8.002849861,16.07233309,514.833604,164.6258029,217.1829329,-73.73909781,21.76929471,Failure
2023-05-26,18.87646754,2.94628569,12.62954923,88.60345677,83.70709592,41.2,114.5089498,49.65240574,71.4,1156.208237,13.40656281,32.3555785,7.236546308,11.19364981,No_failure
2023-01-26,21.7008526,2.593991898,4.380592963,78.50269796,84.17306283,16.01053311,185.9472442,56.20746976,71.4,1231.824416,15.75779329,53.10891231,-6.727747638,18.38393211,No_failure
2023-06-24,40.98065209,0.406906454,-50.41259425,31.61201845,99.10004961,-9.043912851,9.786633076,5.611288568,58.12011214,564.9298706,150.9415506,99.90939505,-52.18808212,27.84138451,Failure
2023-08-11,11.39210323,2.989111148,39.68,84.08660574,57.65202899,-4.20355161,241.0348747,55.02492468,102,1018.077898,3.94492851,114.3953185,25.49990869,12.60212911,No_failure
2023-05-28,18.16501649,3.153317856,0.660899983,74.11814307,72.5420548,5.597770148,166.3225197,46.16474224,71.4,990,16.48110177,188.7704896,44.4621063,18.58413385,No_failure
2023-04-24,17.35523125,3.173337347,22.05246414,85.6814212,72.77885821,31.55372209,309,52.75488002,71.4,990,25.80175212,72.62359362,33.9780148,15.93291754,No_failure
2023-11-03,0.111024214,6.926078357,20.92668972,138.9868117,114.328339,86.63615086,403.0311226,94.14165677,152.0461321,2205.506249,165.9990077,316.7478591,109.8787366,96.94935412,Failure
2023-05-08,14.74615402,3.3552994,11.17475222,77.03761961,78.84435841,0,104.8961631,53.98063373,102,1349.06397,0.255256845,171.6804464,1.009857443,12.73341822,No_failure
